title,link,company,location,description_summary
Desarrollador Python y AI Sr // Poyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-y-ai-sr-poyectos-bancarios-microcentro-caba-en-monserrat-EFF8226E1AB7CCFC61373E686DCF3405#lc=ListOffers-Score6-4,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador Python Sr Experiencia en IA // Proyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-sr-experiencia-en-ia--proyectos-bancarios-remoto-para-residentes-en-buenos-aires-en-monserrat-6ACB550E77E0C52D61373E686DCF3405#lc=ListOffers-Score6-5,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Ref. 20182: Desarrollador Node JavaScript,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20182-desarrollador-node-javascript-hibrido-palermo-caba-en-palermo-C2218225496C85C261373E686DCF3405#lc=ListOffers-Score6-6,ADN - Recursos Humanos,"Palermo, Capital Federal",N/A (Not in list view)
Desarrollador RPG/400 Sr.,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-rpg400-sr-remoto-en-parque-patricios-B1AB52DD00DF23F461373E686DCF3405#lc=ListOffers-Score6-7,SOLUTIX S.A. [Soluciones de RR.HH],"Parque Patricios, Capital Federal",N/A (Not in list view)
Ref. 20210: Desarrollador JavaScript,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20210-desarrollador-javascript-remoto-argentina-en-recoleta-3F0EC7AE3EF173B361373E686DCF3405#lc=ListOffers-Score6-8,ADN - Recursos Humanos,"Recoleta, Capital Federal",N/A (Not in list view)
Desarrollador Machine Learning Sr.,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-machine-learning-sr-remoto-en-monserrat-F7B4C3B71C26A83D61373E686DCF3405#lc=ListOffers-Score6-9,SOLUTIX S.A. [Soluciones de recursos en TI],"Monserrat, Capital Federal",N/A (Not in list view)
Desarrollador Node y AWS,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-node-y-aws-en-san-nicolas-7D3D5B1F729E100C61373E686DCF3405#lc=ListOffers-Score6-10,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Ref.20228:Technical Bussines Developer (TBD) empresa de IT,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref20228technical-bussines-developer-tbd-empresa-de-it-remoto-pago-en-us-en-caballito-F579544A10DA63FB61373E686DCF3405#lc=ListOffers-Score6-11,ADN - Recursos Humanos,"Caballito, Capital Federal",N/A (Not in list view)
Ref. 19493: Desarrollador Jr Full Stack .Net,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-19493-desarrollador-jr-full-stack-net-hibrido-caba-centro-en-recoleta-494C4805D03BC32E61373E686DCF3405#lc=ListOffers-Score6-12,ADN - Recursos Humanos,"Recoleta, Capital Federal",N/A (Not in list view)
Programador Fiori Front y Back End Semi Senior,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-programador-fiori-front-y-back-end-semi-senior-en-san-nicolas-4FE315C1D7798CDF61373E686DCF3405#lc=ListOffers-Score6-13,C&S informática s.a.,"San Nicolás, Capital Federal",N/A (Not in list view)
Desarrollador WordPress,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-wordpress-en-belgrano-415531C9696AF2CE61373E686DCF3405#lc=ListOffers-Score6-14,Cybele Software,"Belgrano, Capital Federal",N/A (Not in list view)
Desarrollador Python y AI Sr // Poyectos Bancarios,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-python-y-ai-sr-poyectos-bancarios-microcentro-caba-en-monserrat-74D281D0ACF70CF861373E686DCF3405#lc=ListOffers-Score6-15,Kaizen Recursos Humanos,"Monserrat, Capital Federal",N/A (Not in list view)
Ref. 20056: Desarrollador Full Stack .Net y React Ssr,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20056-desarrollador-full-stack-net-y-react-ssr-villa-urquiza-caba-hibrido-2-al-mes-en-villa-urquiza-12C52EB5EC572DA761373E686DCF3405#lc=ListOffers-Score6-16,ADN - Recursos Humanos,"Villa Urquiza, Capital Federal",N/A (Not in list view)
